"Bit","N","SMARTS"
205,205,"[!#1][CH]1[CH2][CH]2[CH2][CH2][CH]1[CH2]2"
206,206,"[!#1][CH]1[CH2][CH]2[CH2][CH2]N1[CH2][CH]2[CH]=[CH2]"
207,207,"[!#1][CH]1[CH2][CH2][CH]([!#1])[CH]([!#1])[CH2]1"
208,208,"[!#1][CH]1[CH2][CH2][CH]([!#1])[CH2][CH2]1"
209,209,"[!#1][CH]1[CH2][CH2][CH]([CH2][CH2]1)C([CH3])([CH3])[CH3]"
210,210,"[!#1][CH]1[CH2][CH2][CH]2[CH2][CH2][CH2][NH][CH]2[CH2]1"
211,211,"[!#1][CH]1[CH2][CH2][CH2][CH]([!#1])N1[!#1]"
212,212,"[!#1][CH]1[CH2][CH2][CH2][CH2][CH]1[!#1]"
213,213,"[!#1][CH]1[CH2][CH2][CH2][CH2][CH2][CH2][CH2]1"
214,214,"[!#1][CH]1[CH2][CH2][CH2][CH2][CH2]1"
215,215,"[!#1][CH]1[CH2][CH2][CH2][CH2][NH]C1=O"
216,216,"[!#1][CH]1[CH2][CH2][CH2][CH2]1"
217,217,"[!#1][CH]1[CH2][CH2][CH2][CH2]C1=O"
218,218,"[!#1][CH]1[CH2][CH2][CH2][CH2]N1[!#1]"
219,219,"[!#1][CH]1[CH2][CH2][CH2]C1=N[NH]C(=S)[NH2]"
220,220,"[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([!#1])[cH]c23"
221,221,"[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([cH]c23)c4[cH][cH][cH][cH][cH]4"
222,222,"[!#1][CH]1[CH2][CH2][CH2]c2c1[nH]c3[cH][cH]c([CH3])[cH]c23"
223,223,"[!#1][CH]1[CH2][CH2][CH2]N([!#1])[CH2]1"
224,224,"[!#1][CH]1[CH2][CH2][CH2]N1[!#1]"
225,225,"[!#1][CH]1[CH2][CH2][CH2]O1"
226,226,"[!#1][CH]1[CH2][CH2][NH][CH2][CH2]1"
227,227,"[!#1][CH]1[CH2][CH2][NH]C(=O)[NH]1"
228,228,"[!#1][CH]1[CH2][CH2]1"
229,229,"[!#1][CH]1[CH2][CH2]C([!#1])(C(=O)[OH])C1([!#1])[CH3]"
230,230,"[!#1][CH]1[CH2][CH2]C([CH3])(C(=O)[OH])C1([CH3])[CH3]"
231,231,"[!#1][CH]1[CH2][CH2]c2c([!#1])c([!#1])sc2C1=O"
232,232,"[!#1][CH]1[CH2][CH2]N([!#1])[CH2][CH2]1"
233,233,"[!#1][CH]1[CH2][CH2]OC1=O"
234,234,"[!#1][CH]1[CH2][CH2]S(=O)(=O)[CH2]1"
235,235,"[!#1][CH]1[CH2][NH]c2[cH][cH][cH][cH]c12"
236,236,"[!#1][CH]1[CH2]C([!#1])([CH]([!#1])[CH2]N1[!#1])c2[cH][cH][cH][cH][cH]2"
237,237,"[!#1][CH]1[CH2]C([!#1])([CH3])[NH]C([!#1])([CH3])[CH2]1"
238,238,"[!#1][CH]1[CH2]C([CH3])([CH3])[NH]C([CH3])([CH3])[CH2]1"
239,239,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH][cH][cH]2"
240,240,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c([!#1])[cH]2"
241,241,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c(Cl)[cH]2"
242,242,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH][cH]c3[cH][cH][cH][cH]c23"
243,243,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c([!#1])[cH][cH]2"
244,244,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(Br)[cH][cH]2"
245,245,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(Cl)[cH][cH]2"
246,246,"[!#1][CH]1[CH2]C(=O)N(C1=O)c2[cH][cH]c(O[CH3])[cH][cH]2"
247,247,"[!#1][CH]1[CH2]C(=O)N(N([CH3])[CH3])C1=O"
248,248,"[!#1][CH]1[CH2]C(=O)O[CH]1c2[cH][cH][cH][cH][cH]2"
249,249,"[!#1][CH]1[CH2]C1([!#1])[CH3]"
250,250,"[!#1][CH]1[CH2]C1([CH3])[CH3]"
251,251,"[!#1][CH]1[CH2]C1(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3"
252,252,"[!#1][CH]1[CH2]C1(c2[cH][cH]c([!#1])[cH][cH]2)c3[cH][cH]c([!#1])[cH][cH]3"
253,253,"[!#1][CH]1[CH2]C1(c2[cH][cH]c([CH3])[cH][cH]2)c3[cH][cH]c([CH3])[cH][cH]3"
254,254,"[!#1][CH]1[CH2]C2([!#1])[CH2]C([!#1])([CH2][CH]([!#1])C2=O)C1=O"
255,255,"[!#1][CH]1[CH2]c2[cH][cH][cH]c3[cH][cH][cH]c1c23"
256,256,"[!#1][CH]1[CH2]C21[CH2][CH2][CH2]2"
257,257,"[!#1][CH]1[CH2]c2c([nH]c3[cH][cH][cH][cH]c23)[CH]([!#1])[NH]1"
258,258,"[!#1][CH]1[CH2]c2c([nH]c3[cH][cH][cH][cH]c23)[CH]([NH]1)c4[cH][cH]c([!#1])[cH][cH]4"
259,259,"[!#1][CH]1[CH2]N2[CH2][CH2][CH]1[CH2][CH]2[!#1]"
260,260,"[!#1][CH]1[CH2]O[CH]([!#1])O1"
261,261,"[!#1][CH]1[CH2]O1"
262,262,"[!#1][CH]1[CH2]OC([!#1])([CH3])O1"
263,263,"[!#1][CH]1[CH2]OC2([CH2][CH2][CH2][CH2][CH2]2)O1"
264,264,"[!#1][CH]1[CH2]Oc2[cH][cH][cH][cH]c2O1"
265,265,"[!#1][CH]1[CH2]S(=O)(=O)[CH]=[CH]1"
266,266,"[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[!#1]"
267,267,"[!#1][CH]1[CH2]S(=O)(=O)[CH2][CH]1[OH]"
268,268,"[!#1][CH]1[CH2]S[CH]([NH]1)c2[cH][cH]c([!#1])[cH][cH]2"
269,269,"[!#1][CH]1[CH2]S[CH](N1[!#1])c2[cH][cH]c([!#1])[cH][cH]2"
270,270,"[!#1][CH]1[CH2]S[CH2][CH]1[!#1]"
271,271,"[!#1][CH]1[NH][CH2][CH2]n2[cH][cH][cH]c12"
272,272,"[!#1][CH]1[NH]c2[cH][cH][cH][cH]c2[NH]C1=O"
273,273,"[!#1][CH]1C(=NN(C1=O)c2[cH][cH][cH][cH][cH]2)[!#1]"
274,274,"[!#1][CH]1C(=NN(C1=O)c2c([!#1])c([!#1])c([!#1])c([!#1])c2[!#1])[!#1]"
275,275,"[!#1][CH]1C(=NN(C1=O)c2c(F)c(F)c(F)c(F)c2F)[CH3]"
276,276,"[!#1][CH]1C(=O)[CH2]C([!#1])([CH3])[CH2]C1=O"
277,277,"[!#1][CH]1C(=O)[CH2]C([CH3])([CH3])[CH2]C1=O"
278,278,"[!#1][CH]1C(=O)[NH]C(=O)[NH]C1=O"
279,279,"[!#1][CH]1C(=O)c2[cH][cH][cH][cH]c2C1=O"
280,280,"[!#1][CH]1c2[cH][cH][cH][cH]c2-c3[cH][cH][cH][cH]c13"
281,281,"[!#1][CH]1c2[cH][cH][cH][cH]c2Oc3[cH][cH][cH][cH]c13"
282,282,"[!#1][CH]1N([!#1])[CH2][CH2]c2[cH][cH][cH][cH]c12"
283,283,"[!#1][CH]1N(C(=O)N([!#1])C1([!#1])[CH3])c2[cH][cH][cH]c3[cH][cH][cH][cH]c23"
