"Bit","N","SMARTS"
3351,3351,"CC(C)(C)CC=C"
3352,3352,"CC(C)(C)CC=Cc1ccc(Cl)cc1Cl"
3353,3353,"CC(C)(C)N"
3354,3354,"CC(C)(C)NC(NC=O)C(Cl)(Cl)Cl"
3355,3355,"CC(C)(C)NC=O"
3356,3356,"CC(C)(C)NCC(=O)N"
3357,3357,"CC(C)(C)NCC(O)CO"
3358,3358,"CC(C)(C)NS(=O)(=O)N"
3359,3359,"CC(C)(C)NS(=O)=O"
3360,3360,"CC(C)(C)O"
3361,3361,"CC(C)(C)OC=O"
3362,3362,"CC(C)(C)S"
3363,3363,"CC(C)(C)S(=O)=O"
3364,3364,"CC(C)(c1ccc(O)cc1)c2ccc(O)cc2"
3365,3365,"CC(C)(CCC(=O)N)C(=O)N"
3366,3366,"CC(C)(CCC=O)C=O"
3367,3367,"CC(C)(N)CO"
3368,3368,"CC(C)(O)C#C"
3369,3369,"CC(C)C"
3370,3370,"CC(C)C(=O)NC(NC(=S)N)C(Cl)(Cl)Cl"
3371,3371,"CC(C)C(N)C(=O)O"
3372,3372,"CC(C)C(NC(=S)SCC=O)C(=O)O"
3373,3373,"CC(C)C(NC=O)C(=O)O"
3374,3374,"CC(C)C(NS(=O)=O)C(=O)O"
3375,3375,"CC(C)C=O"
3376,3376,"CC(C)c1cc(C(C)C)c(S(=O)=O)c(c1)C(C)C"
3377,3377,"CC(C)c1cc(cc(c1)C(C)C)C(C)C"
3378,3378,"CC(C)c1ccc(C)c(O)c1"
3379,3379,"CC(C)c1ccc(C)cc1"
3380,3380,"CC(C)C1CCC(C)CC1O"
3381,3381,"CC(C)c1ccc(O)cc1"
3382,3382,"CC(C)c1ccccc1"
3383,3383,"CC(C)c1nnn[nH]1"
3384,3384,"CC(C)CC(=NNC=O)C"
3385,3385,"CC(C)CC(=O)N"
3386,3386,"CC(C)CC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl"
3387,3387,"CC(C)CC(=O)O"
3388,3388,"CC(C)CC(C)(C)C"
3389,3389,"CC(C)CC(C)O"
3390,3390,"CC(C)CC=O"
3391,3391,"CC(C)Cc1ccc(cc1)C(C)C=O"
3392,3392,"CC(C)CCC(=O)O"
3393,3393,"CC(C)CCC=O"
3394,3394,"CC(C)CCCC(C)C"
3395,3395,"CC(C)CCO"
3396,3396,"CC(C)CN"
3397,3397,"CC(C)CN(CC(C)C)S(=O)=O"
3398,3398,"CC(C)CNC=O"
3399,3399,"CC(C)CO"
3400,3400,"CC(C)COC=O"
3401,3401,"CC(C)COP(=O)(N)OCC(C)C"
3402,3402,"CC(C)N"
3403,3403,"CC(C)N(C=O)C(C)C"
3404,3404,"CC(C)NC=O"
3405,3405,"CC(C)NCC(=O)N"
3406,3406,"CC(C)NCC(O)CO"
3407,3407,"CC(C)NS(=O)=O"
3408,3408,"CC(C)O"
3409,3409,"CC(C)OC(=O)N"
3410,3410,"CC(C)OC=O"
3411,3411,"CC(C)OP(=O)(N)OC(C)C"
3412,3412,"CC(CC=O)c1ccccc1"
3413,3413,"CC(Cl)(Cl)Cl"
3414,3414,"CC(N)C(=O)O"
3415,3415,"CC(N)c1ccccc1"
3416,3416,"CC(NC(=O)CO)C(=O)O"
3417,3417,"CC(NC(=O)OC(C)(C)C)C(=O)O"
3418,3418,"CC(NC=O)C(=O)N"
3419,3419,"CC(NC=O)C(=O)O"
3420,3420,"CC(NS(=O)=O)C(=O)O"
3421,3421,"CC(O)C(=O)NN"
3422,3422,"CC(O)C(=O)NN=C"
3423,3423,"CC(O)C(=O)NN=Cc1cc(ccc1O)[N+](=O)[O-]"
3424,3424,"CC(O)C(=O)NN=Cc1ccccc1"
3425,3425,"CC(O)C(=O)O"
3426,3426,"CC(O)C(O)C(O)C(C)O"
3427,3427,"CC(O)C(O)C(O)C(O)CO"
3428,3428,"CC(O)C(O)C(O)CO"
3429,3429,"CC(O)c1ccc(cc1)[N+](=O)[O-]"
3430,3430,"CC(O)c1ccccc1"
3431,3431,"CC(O)CBr"
3432,3432,"CC(O)CCC(=O)NN=C"
3433,3433,"CC(O)CCl"
3434,3434,"CC(O)CN"
3435,3435,"CC(O)CN(C)C"
3436,3436,"CC(O)CO"
3437,3437,"CC(OC=O)C(=C(Cl)Cl)Cl"
3438,3438,"CC[n+]1c(C)oc2ccccc12"
3439,3439,"CC[n+]1c2ccccc2nc3ccccc13"
3440,3440,"CC=C"
3441,3441,"CC=CC(=O)C"
3442,3442,"CC=CC(=O)N"
3443,3443,"CC=N"
3444,3444,"CC=NN"
3445,3445,"CC=NN=CC"
3446,3446,"CC=NNC(=O)C"
3447,3447,"CC=NNC(=O)CO"
3448,3448,"CC=NNC(=O)N"
3449,3449,"CC=NNC(=S)N"
3450,3450,"CC=NNC=O"
3451,3451,"CC=NNS(=O)=O"
3452,3452,"CC=NO"
3453,3453,"CC=NOC=O"
3454,3454,"CC=NOCON=CC"
3455,3455,"CC=O"
3456,3456,"CC1(C)C(CCC1(C)C(=O)O)C(=O)N"
3457,3457,"CC1(C)C(CCC1(C)C(=O)O)C=O"
3458,3458,"CC1(C)C2CCC1(C)C(=O)C2"
3459,3459,"CC1(C)CC(=CC(=O)C1)O"
3460,3460,"CC1(C)CC(=O)c2cc3ccccc3nc2C1"
3461,3461,"CC1(C)CC(=O)c2cncnc2C1"
3462,3462,"CC1(C)CC(=O)CC(=NNC=O)C1"
3463,3463,"CC1(C)CC(=O)CC(=O)C1"
3464,3464,"CC1(C)CC(=O)CC(=O)C1C=O"
3465,3465,"CC1(C)CC(O)c2cc3ccccc3nc2C1"
3466,3466,"CC1(C)CC=CC(=O)C1"
3467,3467,"CC1(C)CC1"
3468,3468,"CC1(C)CC1C=O"
3469,3469,"CC1(C)CCCC(C)(C)N1"
3470,3470,"CC1(C)CCCC1(C)C(=O)O"
3471,3471,"CC1(C)CN(C(=O)N1)c2cccc3ccccc23"
3472,3472,"CC1(C)OC(=O)CC(=O)O1"
3473,3473,"CC1(CC2CC3CC(C2)C1)C3"
3474,3474,"CC1(O)CCCCC1"
3475,3475,"Cc1[nH][nH]c(=O)c1C=N"
3476,3476,"Cc1[nH]c2ccc(C=O)cc2c1C"
3477,3477,"Cc1[nH]c2ccc(O)cc2c1C=O"
3478,3478,"Cc1[nH]c2ccccc2c1C"
3479,3479,"CC1=CC(NC(=O)N1)c2ccccc2"
3480,3480,"CC1=NN(C(=O)C1)c2c(F)c(F)c(F)c(F)c2F"
3481,3481,"CC1=NN(C(=O)C1)c2ccc(cc2)[N+](=O)[O-]"
3482,3482,"CC1C(=O)c2ccccc2C1=O"
3483,3483,"CC1C(=O)CC(C)(C)CC1=O"
3484,3484,"CC1C(C=O)C(C=O)C(C)C(C=O)C1C=O"
3485,3485,"Cc1c(C=O)oc2c(O)cccc12"
3486,3486,"Cc1c(cc(C=O)cc1[N+](=O)[O-])[N+](=O)[O-]"
3487,3487,"Cc1c(cc(cc1[N+](=O)[O-])C(=O)N)[N+](=O)[O-]"
3488,3488,"Cc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]"
3489,3489,"Cc1c(O)ccc2ccccc12"
3490,3490,"Cc1c[nH]c2ccccc12"
3491,3491,"Cc1cc(=O)[nH][nH]1"
3492,3492,"Cc1cc(=O)c2ccc(O)cc2o1"
3493,3493,"Cc1cc(=O)c2ccccc2o1"
3494,3494,"Cc1cc(=O)n(c2ccccc2)n1C"
3495,3495,"Cc1cc(=O)oc2cc(O)ccc12"
3496,3496,"Cc1cc(=O)oc2ccccc12"
3497,3497,"Cc1cc(Br)cc(Br)c1O"
3498,3498,"Cc1cc(Br)cc(C(=O)O)c1O"
3499,3499,"Cc1cc(Br)cc(C)c1O"
3500,3500,"Cc1cc(C)[nH]c(=O)n1"
3501,3501,"Cc1cc(C)[nH]n1"
3502,3502,"Cc1cc(C)c(C)c(C)c1C"
3503,3503,"Cc1cc(C)c(C=NO)c(C)c1"
3504,3504,"CC1CC(C)C(C=O)C1C=O"
3505,3505,"CC1CC(C)C(C1C=O)C(=O)O"
3506,3506,"Cc1cc(C)c(O)c(n1)C(C)(C)C"
3507,3507,"Cc1cc(C)c(O)cn1"
3508,3508,"Cc1cc(C)c(S(=O)=O)c(C)c1"
3509,3509,"Cc1cc(C)cc(Br)c1"
3510,3510,"Cc1cc(C)cc(C)c1"
3511,3511,"Cc1cc(C)n2ncnc2n1"
3512,3512,"Cc1cc(C)nc(N)n1"
3513,3513,"Cc1cc(C)nc(NC=O)n1"
3514,3514,"Cc1cc(C)nc(NS(=O)=O)n1"
3515,3515,"Cc1cc(C)ncn1"
3516,3516,"Cc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]"
3517,3517,"Cc1cc(ccc1O)[N+](=O)[O-]"
3518,3518,"Cc1cc(CO)c(C=O)c(=O)[nH]1"
3519,3519,"Cc1cc(O)c2[nH]nc[n+]2n1"
3520,3520,"Cc1cc(O)cc(O)c1"
3521,3521,"Cc1cc[nH]n1"
3522,3522,"Cc1cc2cc(ccc2[nH]1)[N+](=O)[O-]"
3523,3523,"Cc1cc2ccccc2[nH]1"
3524,3524,"Cc1cc2ccccc2n1C"
3525,3525,"Cc1ccc(Br)cc1"
3526,3526,"Cc1ccc(Br)s1"
3527,3527,"Cc1ccc(C)[nH]1"
3528,3528,"Cc1ccc(C)c(C)c1"
3529,3529,"Cc1ccc(C)cc1"
3530,3530,"Cc1ccc(C)n1c2ccccc2"
3531,3531,"Cc1ccc(C)o1"
3532,3532,"Cc1ccc(C=N)o1"
3533,3533,"Cc1ccc(C=NNC=O)o1"
3534,3534,"Cc1ccc(C=O)cc1"
3535,3535,"Cc1ccc(C=O)cc1S(=O)=O"
3536,3536,"Cc1ccc(cc1)[N+](=O)[O-]"
3537,3537,"Cc1ccc(cc1)C(=O)O"
3538,3538,"Cc1ccc(cc1)C(F)(F)F"
3539,3539,"Cc1ccc(cc1)C2(CC2C=O)c3ccc(C)cc3"
3540,3540,"Cc1ccc(cc1)c2ccccc2"
3541,3541,"Cc1ccc(cc1)S(=O)(=O)C"
3542,3542,"Cc1ccc(cc1)S(=O)(=O)N"
3543,3543,"Cc1ccc(cc1)S(=O)=O"
3544,3544,"Cc1ccc(cc1[N+](=O)[O-])S(=O)=O"
3545,3545,"Cc1ccc(CCC=O)o1"
3546,3546,"Cc1ccc(Cl)cc1"
3547,3547,"Cc1ccc(Cl)cc1Cl"
3548,3548,"Cc1ccc(F)cc1"
3549,3549,"Cc1ccc(F)cc1F"
3550,3550,"Cc1ccc(N)cc1"
3551,3551,"Cc1ccc(NC(=S)NCC(Cl)(Cl)Cl)cc1"
3552,3552,"Cc1ccc(NC(=S)SCC=O)cc1"
3553,3553,"Cc1ccc(NC=O)cc1"
3554,3554,"Cc1ccc(O)c(C)c1"
3555,3555,"Cc1ccc(O)c(C)n1"
3556,3556,"Cc1ccc(O)c(C=NNC=O)c1"
3557,3557,"Cc1ccc(O)c(c1)[N+](=O)[O-]"
3558,3558,"Cc1ccc(O)c(CCc2ccccc2)n1"
3559,3559,"Cc1ccc(O)c(O)c1"
3560,3560,"Cc1ccc(O)cc1"
3561,3561,"Cc1ccc(O)cc1C"
3562,3562,"Cc1ccc(O)cn1"
3563,3563,"Cc1ccc(o1)[N+](=O)[O-]"
3564,3564,"Cc1ccc[nH]1"
3565,3565,"Cc1ccc[nH]c1=N"
3566,3566,"Cc1ccc2[nH]c3C(=O)CCCc3c2c1"
3567,3567,"Cc1ccc2[nH]c3CCCCc3c2c1"
3568,3568,"Cc1ccc2ccccc2c1"
3569,3569,"Cc1ccc2ccccc2n1"
3570,3570,"Cc1ccc2n3CCNC4CCCc(c43)c2c1"
3571,3571,"Cc1ccc2ncsc2c1"
3572,3572,"Cc1ccc2OCOc2c1"
3573,3573,"Cc1cccc(Br)c1"
3574,3574,"Cc1cccc(C)c1"
3575,3575,"Cc1cccc(C)c1Cl"
3576,3576,"Cc1cccc(C)c1n2cnnn2"
3577,3577,"Cc1cccc(C)c1NC=O"
3578,3578,"Cc1cccc(C)n1"
3579,3579,"Cc1cccc(C=O)c1"
3580,3580,"Cc1cccc(c1)[N+](=O)[O-]"
3581,3581,"Cc1cccc(c1)C(=O)N"
3582,3582,"Cc1cccc(c1)C(=O)O"
3583,3583,"Cc1cccc(c1)C(C)(C)C"
3584,3584,"Cc1cccc(c1)c2cccc(C)c2"
3585,3585,"Cc1cccc(Cl)c1"
3586,3586,"Cc1cccc(F)c1"
3587,3587,"Cc1cccc(N)c1"
3588,3588,"Cc1cccc(N=Nc2ccccc2C)c1"
3589,3589,"Cc1cccc(NC(=S)NCC(Cl)(Cl)Cl)c1"
3590,3590,"Cc1cccc(NC=O)c1"
3591,3591,"Cc1cccc(O)c1"
3592,3592,"Cc1cccc2ccccc12"
3593,3593,"CC1CCCCC1"
3594,3594,"Cc1ccccc1[N+](=O)[O-]"
3595,3595,"Cc1ccccc1Br"
3596,3596,"Cc1ccccc1C"
3597,3597,"Cc1ccccc1C(F)(F)F"
3598,3598,"Cc1ccccc1C=O"
3599,3599,"Cc1ccccc1Cl"
3600,3600,"Cc1ccccc1F"
3601,3601,"Cc1ccccc1I"
3602,3602,"Cc1ccccc1N"
3603,3603,"Cc1ccccc1N=Nc2ccc(NC(=S)NCC(Cl)(Cl)Cl)c(C)c2"
3604,3604,"Cc1ccccc1NC(=S)NCC(Cl)(Cl)Cl"
3605,3605,"Cc1ccccc1NS(=O)=O"
3606,3606,"Cc1ccccc1O"
3607,3607,"Cc1ccccc1S(=O)(=O)O"
3608,3608,"Cc1ccccn1"
3609,3609,"Cc1cccnc1"
3610,3610,"Cc1ccco1"
3611,3611,"Cc1cccs1"
3612,3612,"Cc1ccn[nH]1"
3613,3613,"Cc1ccnc(C)c1"
3614,3614,"Cc1ccnc(N)c1"
3615,3615,"Cc1ccnc2ccc3ccccc3c12"
3616,3616,"Cc1ccncc1"
3617,3617,"Cc1ccncn1"
3618,3618,"Cc1ccoc1"
3619,3619,"Cc1ccsc1"
3620,3620,"Cc1ccsc1C"
3621,3621,"Cc1ccsc1C=N"
3622,3622,"CC1COC2(CCCCC2)O1"
3623,3623,"Cc1csc[nH+]1"
3624,3624,"Cc1csc2CCCCc12"
3625,3625,"Cc1cscn1"
3626,3626,"Cc1n[nH]cc1[N+](=O)[O-]"
3627,3627,"Cc1nc2ccccc2[nH]1"
3628,3628,"Cc1nc2ccccc2c(=O)[nH]1"
3629,3629,"Cc1nc2ccccc2c3cc4ccccc4n13"
3630,3630,"Cc1nc2ccccc2s1"
3631,3631,"Cc1ncc([nH]1)[N+](=O)[O-]"
3632,3632,"Cc1ncc[nH]1"
3633,3633,"Cc1ncc2c3CCCCc3sc2n1"
3634,3634,"Cc1nncs1"
3635,3635,"CC1OCC(O)C(O)C1O"
3636,3636,"CC1OCCO1"
3637,3637,"Cc1sc2ccccc2[n+]1CCCS(=O)(=O)O"
3638,3638,"Cc1sc2ncncc2c1C"
3639,3639,"Cc1scc(C=O)c1C"
3640,3640,"CCC"
3641,3641,"CCC#N"
3642,3642,"CCC(=NNC(=S)N)CC"
3643,3643,"CCC(=O)C"
3644,3644,"CCC(=O)C1(CC2CC3CC(C2)C1)C3"
3645,3645,"CCC(=O)c1ccccc1"
3646,3646,"CCC(=O)CC"
3647,3647,"CCC(=O)N"
3648,3648,"CCC(=O)NC"
3649,3649,"CCC(=O)NC(C)C"
3650,3650,"CCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl"
3651,3651,"CCC(=O)NN"
3652,3652,"CCC(=O)NN=C"
3653,3653,"CCC(=O)NNC=O"
3654,3654,"CCC(=O)O"
3655,3655,"CCC(=O)OC"
3656,3656,"CCC(=O)OCC=O"
3657,3657,"CCC(C)(C)C"
3658,3658,"CCC(C)(C)CC(=O)C"
3659,3659,"CCC(C)C"
3660,3660,"CCC(C)CC"
3661,3661,"CCC(C)N"
3662,3662,"CCC(C)NC=O"
3663,3663,"CCC(C=O)C(CC)C=O"
3664,3664,"CCC(CC)(C=O)C=O"
3665,3665,"CCC(CC)Cc1ccccc1"
3666,3666,"CCC(CCC(O)c1ccnc2ccccc12)C(C)C"
3667,3667,"CCC(N)C(=O)O"
3668,3668,"CCC=C(C)C"
3669,3669,"CCC=NNC=O"
3670,3670,"CCC=NO"
3671,3671,"CCC=O"
3672,3672,"CCC1(CC2CC3CC(C2)C1)C3"
3673,3673,"CCC1C(C=O)C(C=O)C(C)(CC=O)C(C=O)C1C=O"
3674,3674,"CCc1c[nH]c2ccc(O)cc12"
3675,3675,"CCc1c[nH]c2ccccc12"
3676,3676,"CCC1CC1"
3677,3677,"CCc1cc2c(=O)ccoc2cc1O"
3678,3678,"CCc1ccc(C)nc1"
3679,3679,"CCc1ccc(cc1)c2nc3ccccc3o2"
3680,3680,"CCc1ccc(O)c(O)c1"
3681,3681,"CCc1ccc(O)cc1"
3682,3682,"CCc1ccccc1"
3683,3683,"CCC1CCCCN1"
3684,3684,"CCc1cnc2ccc(Br)cc2c1"
3685,3685,"CCc1cnc2ccccc2c1"
3686,3686,"CCc1nc(C)ccc1O"
3687,3687,"CCc1nc2ccccc2[nH]1"
3688,3688,"CCc1nc2ccccc2cc1C"
3689,3689,"CCc1ncccc1O"
3690,3690,"CCc1nnc(N)s1"
3691,3691,"CCc1nncs1"
3692,3692,"CCCC"
3693,3693,"CCCC(=O)N"
3694,3694,"CCCC(=O)NC(N)C(Cl)(Cl)Cl"
3695,3695,"CCCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl"
3696,3696,"CCCC(=O)NS(=O)=O"
3697,3697,"CCCC(=O)O"
3698,3698,"CCCC(CCC)C(=O)N"
3699,3699,"CCCC(O)CO"
3700,3700,"CCCC=NNC=O"
3701,3701,"CCCC=O"
3702,3702,"CCCc1c[nH]c2ccccc12"
3703,3703,"CCCc1ccc(O)cc1"
3704,3704,"CCCc1ccccc1"
3705,3705,"CCCc1nc2ccccc2cc1CC"
3706,3706,"CCCCC"
3707,3707,"CCCCC(=O)N"
3708,3708,"CCCCC(=O)O"
3709,3709,"CCCCC=O"
3710,3710,"CCCCc1ccccc1"
3711,3711,"CCCCc1nc2ccccc2cc1CCC"
3712,3712,"CCCCCC"
3713,3713,"CCCCCC(=O)N"
3714,3714,"CCCCCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl"
3715,3715,"CCCCCC(=O)NN=C"
3716,3716,"CCCCCC(=O)O"
3717,3717,"CCCCCC(C)NC=O"
3718,3718,"CCCCCC=O"
3719,3719,"CCCCCCC"
3720,3720,"CCCCCCC(=O)NC(NC(=S)N)C(Cl)(Cl)Cl"
3721,3721,"CCCCCCC=O"
3722,3722,"CCCCCCCC"
3723,3723,"CCCCCCCC(=O)NN=C"
3724,3724,"CCCCCCCC(=O)NNC=O"
3725,3725,"CCCCCCCC=O"
3726,3726,"CCCCCCNC=O"
3727,3727,"CCCCCCO"
3728,3728,"CCCCCCOC=O"
3729,3729,"CCCCCN"
3730,3730,"CCCCCO"
3731,3731,"CCCCCOC=O"
3732,3732,"CCCCl"
3733,3733,"CCCCN"
3734,3734,"CCCCN(CCCC)CC(=O)N"
3735,3735,"CCCCNC=O"
3736,3736,"CCCCNS(=O)=O"
3737,3737,"CCCCO"
3738,3738,"CCCCOC=O"
3739,3739,"CCCCS"
3740,3740,"CCCN"
3741,3741,"CCCN(C)C"
3742,3742,"CCCNC=O"
3743,3743,"CCCNS(=O)=O"
3744,3744,"CCCO"
3745,3745,"CCCOC(=O)CO"
3746,3746,"CCCOC=O"
3747,3747,"CCCS(=O)(=O)O"
3748,3748,"CCCS(=O)(=O)O[Na]"
3749,3749,"CCl"
3750,3750,"CCN"
3751,3751,"CCN(C)C"
3752,3752,"CCN(C)CC"
3753,3753,"CCN(C)CC(=O)N"
3754,3754,"CCN(CC(O)CO)S(=O)(=O)O"
3755,3755,"CCN(CC)C(=S)N"
3756,3756,"CCN(CC)C=O"
3757,3757,"CCN(CC)CC"
3758,3758,"CCN(CC)CC(=O)N"
3759,3759,"CCN(CC)CC(C)O"
3760,3760,"CCN(CC)CC=O"
3761,3761,"CCN(CC)CCC=O"
3762,3762,"CCN(CC)CCCC(C)N"
3763,3763,"CCN(CC)CCN"
3764,3764,"CCN(CC)CCNC=O"
3765,3765,"CCN(CC)CCOC=O"
3766,3766,"CCN(CC)S(=O)=O"
3767,3767,"CCN(CCO)C=O"
3768,3768,"CCN=C"
3769,3769,"CCN1C(=O)c2cccc3cccc1c23"
3770,3770,"CCN1C(=O)c2ccccc2C1=O"
3771,3771,"CCn1c2ccccc2c3cc(C=NNC=O)ccc13"
3772,3772,"CCN1CCOCC1"
3773,3773,"CCNC"
3774,3774,"CCNC(=NCC)S"
3775,3775,"CCNC(=O)C"
3776,3776,"CCNC(=O)C=C"
3777,3777,"CCNC(=O)CC"
3778,3778,"CCNC(=O)CO"
3779,3779,"CCNC(=O)N"
3780,3780,"CCNC(=S)NC(CC=O)c1ccccc1"
3781,3781,"CCNC=O"
3782,3782,"CCNCC"
3783,3783,"CCNCC(=O)N"
3784,3784,"CCNCC(O)CO"
3785,3785,"CCNCC=O"
3786,3786,"CCNCCO"
3787,3787,"CCNS(=O)=O"
3788,3788,"CCO"
3789,3789,"CCOC"
3790,3790,"CCOC(=O)C"
3791,3791,"CCOC(=O)C(=C)C#N"
3792,3792,"CCOC(=O)C(C)NC(=O)C"
3793,3793,"CCOC(=O)C(C)NC=O"
3794,3794,"CCOC(=O)C=CC"
3795,3795,"CCOC(=O)CC"
3796,3796,"CCOC(=O)CC(=O)N"
3797,3797,"CCOC(=O)CC(=O)OCC"
3798,3798,"CCOC(=O)CC=O"
3799,3799,"CCOC(=O)CCC(=O)N"
3800,3800,"CCOC(=O)CN"
3801,3801,"CCOC(=O)CNC=O"
3802,3802,"CCOC(=O)CS"
3803,3803,"CCOC(=O)N"
3804,3804,"CCOC(=O)NC(N)C(Cl)(Cl)Cl"
3805,3805,"CCOC(=O)NN=C"
3806,3806,"CCOC=O"
3807,3807,"CCOP(=O)(CN)OCC"
3808,3808,"CCOP(=O)(N)OCC"
3809,3809,"CCS"
3810,3810,"CCS(=O)(=O)C(=C(N)N)S(=O)(=O)CC"
3811,3811,"CCS(=O)(=O)CCC(=O)N"
3812,3812,"CCS(=O)(=O)CCC=O"
3813,3813,"CCS(=O)(=O)O"
3814,3814,"CCS(=O)=O"
3815,3815,"CCS=O"
3816,3816,"CCSC"
3817,3817,"CCSC(=N)N"
3818,3818,"CCSC(C)C"
3819,3819,"CCSC=S"
3820,3820,"CCSCC"
3821,3821,"Cl"
3822,3822,"ClC(=C(Cl)COC=O)Cl"
3823,3823,"ClC(=C)Cl"
3824,3824,"ClC(Cl)(Cl)C=O"
3825,3825,"ClC(Cl)(Cl)CNC(=S)Nc1ccc(cc1)S(=O)=O"
3826,3826,"ClC(Cl)(Cl)CNC(=S)Nc1ccc(N=Nc2ccccc2)cc1"
3827,3827,"ClC(Cl)(Cl)CNC(=S)Nc1cccc2ccccc12"
3828,3828,"ClC(Cl)(Cl)CNC(=S)Nc1cccc2cccnc12"
3829,3829,"ClC(Cl)(Cl)CNC(=S)Nc1ccccc1"
3830,3830,"ClC(Cl)(Cl)CNC(=S)Nc1ccccc1C=O"
3831,3831,"ClC(Cl)(Cl)CNC(=S)Nc1sc2CCCCc2c1C=O"
3832,3832,"ClC(Cl)(Cl)CNC=O"
3833,3833,"ClC(Cl)(Cl)CNS(=O)=O"
3834,3834,"ClC(Cl)Cl"
3835,3835,"Clc1c(C=O)sc2ccccc12"
3836,3836,"Clc1cc(Cl)cc(C=O)c1"
3837,3837,"Clc1cc(Cl)cc(Cl)c1"
3838,3838,"Clc1ccc(C=C2SC(=S)NC2=O)cc1"
3839,3839,"Clc1ccc(C=N)c(Cl)c1"
3840,3840,"Clc1ccc(C=N)cc1"
3841,3841,"Clc1ccc(C=NNC=O)c(Cl)c1"
3842,3842,"Clc1ccc(C=NNC=O)cc1"
3843,3843,"Clc1ccc(C=O)c(Cl)c1"
3844,3844,"Clc1ccc(C=O)cc1"
3845,3845,"Clc1ccc(C=O)cc1Cl"
3846,3846,"Clc1ccc(cc1)N2C(=O)CCC2=O"
3847,3847,"Clc1ccc(cc1)N2CCNCC2"
3848,3848,"Clc1ccc(cc1)S(=O)(=O)c2cccc(c2)S(=O)=O"
3849,3849,"Clc1ccc(cc1)S(=O)=O"
3850,3850,"Clc1ccc(cc1Cl)S(=O)(=O)c2cccc(c2)S(=O)=O"
3851,3851,"Clc1ccc(cc1Cl)S(=O)=O"
3852,3852,"Clc1ccc(Cl)c(Cl)c1"
3853,3853,"Clc1ccc(Cl)c(NC(=S)NCC(Cl)(Cl)Cl)c1"
3854,3854,"Clc1ccc(Cl)c(NC=O)c1"
3855,3855,"Clc1ccc(Cl)cc1"
3856,3856,"Clc1ccc(NC=O)c(Cl)c1"
3857,3857,"Clc1ccc(NC=O)cc1"
3858,3858,"Clc1ccc(NC=O)cc1Cl"
3859,3859,"Clc1ccc(NS(=O)=O)cc1"
3860,3860,"Clc1ccc2[nH]c3ccc(Cl)cc3c2c1"
3861,3861,"Clc1ccc2ocnc2c1"
3862,3862,"Clc1cccc(Br)c1"
3863,3863,"Clc1cccc(C=N)c1"
3864,3864,"Clc1cccc(C=O)c1"
3865,3865,"Clc1cccc(c1)N2C(=O)CCC2=O"
3866,3866,"Clc1cccc(Cl)c1"
3867,3867,"Clc1cccc(NC=O)c1"
3868,3868,"Clc1cccc2ccccc12"
3869,3869,"Clc1ccccc1"
3870,3870,"Clc1ccccc1Br"
3871,3871,"Clc1ccccc1C=NNC=O"
3872,3872,"Clc1ccccc1C=O"
3873,3873,"Clc1ccccc1Cl"
3874,3874,"Clc1ccccc1NC=O"
3875,3875,"Clc1ccccc1S(=O)=O"
3876,3876,"Clc1cccnc1"
3877,3877,"Clc1csc2ccccc12"
3878,3878,"Clc1ncnc(Cl)n1"
3879,3879,"Clc1ncncn1"
3880,3880,"ClCC=O"
3881,3881,"ClCCl"
3882,3882,"CN"
3883,3883,"CN(C(=O)CCC(=O)O)C(C)(C)C"
3884,3884,"CN(C)C"
3885,3885,"CN(C)C(=N)C"
3886,3886,"CN(C)C(=N)NC(=N)N"
3887,3887,"CN(C)C(=O)N"
3888,3888,"CN(C)C=N"
3889,3889,"CN(C)C=O"
3890,3890,"CN(C)c1ccc(C=NNC=O)cc1"
3891,3891,"CN(C)c1ccc2ccccc2n1"
3892,3892,"CN(C)c1ccccc1"
3893,3893,"CN(C)CC(=O)N"
3894,3894,"CN(C)CC=O"
3895,3895,"CN(C)CCC=O"
3896,3896,"CN(C)CCCNC(=O)C(=C)NC=O"
3897,3897,"CN(C)CCCNC=O"
3898,3898,"CN(C)CCCOC=O"
3899,3899,"CN(C)CCOC=O"
3900,3900,"CN(C)N1C(=O)CCC1=O"
3901,3901,"CN(C)S(=O)=O"
3902,3902,"CN(C=O)C(C)(C)C"
3903,3903,"CN(C=O)c1ccc(I)cc1"
3904,3904,"CN(CC(O)CO)S(=O)(=O)O"
3905,3905,"CN(CCO)CCO"
3906,3906,"CN(S(=O)=O)C(C)(C)C"
3907,3907,"CN=C"
3908,3908,"CN=c1cc[nH]cc1"
3909,3909,"CN1C(=O)C(=NNC(=O)CO)c2cc(Br)ccc12"
3910,3910,"CN1C(=O)c2ccccc2C1=O"
3911,3911,"CN1C2CCC1CCC2"
3912,3912,"Cn1cc(Br)c(n1)C(=O)N"
3913,3913,"CN1CCc2cc3ccccc3nc12"
3914,3914,"CN1CCCC1"
3915,3915,"CN1CCCCC1"
3916,3916,"Cn1cccn1"
3917,3917,"CN1CCN(CC1)c2ccc(Cl)cc2"
3918,3918,"CN1CCN(CC1)c2ccc(F)cc2"
